,Data Year,ID,Property Name,Address,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude
1,2020,232458,Harper Square Cooperative,4800 - 4850 S Lake Park Ave,1.0,False,KENWOOD,Multifamily Housing,627680.0,1974.0,16397682.8,43537490.6,95.5,146.0,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397
2,2020,254616,Former Coyne College,330 N Green St,2.0,False,NEAR WEST SIDE,Office,555524.0,2019.0,28606427.7,2199940.1,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071
3,2020,103812,400 W Superior St,400 W Superior St,3.0,False,NEAR NORTH SIDE,Office,130007.0,1998.0,6489281.3,1493523.2,61.4,151.8,63.0,154.8,1092.1,8.4,41.89575232,-87.638901
4,2020,254073,Blue Moon Lofts,215 N. Aberdeen St.,4.0,False,NEAR WEST SIDE,Multifamily Housing,83000.0,1908.0,1614582.3,825006.6,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516
5,2020,254385,"Ambulatory Care Center, St. Bernard Hospital",6307 S STEWART AVE,2.5,False,Englewood,Medical Office,98018.0,2016.0,4204723.5,2236782.3,96.7,211.9,98.0,212.8,775.0,11.6,41.77391183,-87.63872071
8,2020,157607,Hilliard Homes Limited Partnership (Senior),2111 S Clark Ave,3.5,False,NEAR SOUTH SIDE,Multifamily Housing,311326.0,1966.0,4993793.0,15777294.8,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083
9,2020,254329,901 South Plymouth Condominium Association,901 S Plymouth Ct,3.5,False,Loop,Multifamily Housing,199600.0,1979.0,5821462.7,4643106.7,64.7,131.0,68.7,139.8,1155.2,7.1,41.8682103,-87.62733
11,2020,250020,Gage Park,2411 W 55th St,2.0,False,GAGE PARK,Other - Recreation,64960.0,1926.0,847144.0,6955745.2,132.3,164.1,142.2,174.5,501.7,8.5,41.79382847,-87.68432907
12,2020,254001,,4434 4444 N Damen Ave,2.5,False,North Center,Multifamily Housing,53800.0,2006.0,2985049.6,5693982.0,78.2,129.2,81.2,133.1,768.3,6.9,41.9720897,-87.70256
13,2020,251757,"Thorp Scholastic Academy, Ole A -CPS",6024 W Warwick Ave,4.0,False,DUNNING,K-12 School,93200.0,1918.0,1246831.5,5832379.9,76.0,103.2,86.5,114.3,504.4,5.4,41.94895308,-87.77785435
14,2020,250165,River East Center Campus,322 E Illinois St,1.0,False,NEAR NORTH SIDE,Mixed Use Property,1975361.0,2001.0,64410587.3,102156516.4,110.2,190.3,111.5,191.4,15478.5,10.2,41.8914469,-87.61889748
15,2020,157100,,1611  W DIVISION ST,4.0,False,WEST TOWN,Multifamily Housing,112734.0,2013.0,2292017.8,4175204.4,59.4,99.2,59.8,100.2,579.5,5.3,41.90225377,-87.68447845
16,2020,101722,500 W Monroe,500 W Monroe,1.0,False,NEAR WEST SIDE,Office,1554884.0,1992.0,98139027.4,,85.5,239.3,92.1,257.8,15316.5,13.3,41.880609,-87.639778
17,2020,101815,,4845 4859 N MAGNOLIA AVE,4.0,False,UPTOWN,Multifamily Housing,50986.0,1916.0,417741.4,3243596.1,71.8,89.7,76.5,94.7,237.5,4.7,41.97223008,-87.6645957
18,2020,251714,Lloyd Elementary -CPS,2103 N Lamon Ave,2.5,False,BELMONT CRAGIN,K-12 School,150436.0,1907.0,4506708.5,7731610.1,81.4,137.8,88.0,144.8,1114.0,7.4,41.91901757,-87.74788079
19,2020,175477,,1617 1633 W BELMONT AVE,3.0,False,LAKE VIEW,Multifamily Housing,56880.0,1928.0,652896.4,4629361.5,92.9,117.6,103.1,127.7,347.8,6.1,41.9398511,-87.65844752
20,2020,112141,,3470  N LAKE SHORE DR,3.0,False,LAKE VIEW,Multifamily Housing,155144.0,1968.0,2550176.6,7203545.7,73.6,111.0,77.6,115.2,780.6,5.9,41.9398511,-87.65844752
21,2020,101910,Michael A. Bilandic Building,160 N LaSalle St,4.0,False,LOOP,Office,464498.0,1920.0,13045901.7,12600101.5,55.2,107.1,57.7,109.8,2705.3,5.8,41.88474397,-87.63249596
22,2020,159419,"Fifth Praire Shores, LLC",2801 S King Dr,1.0,False,DOUGLAS,Multifamily Housing,289267.0,1960.0,4709257.4,32647070.7,129.1,164.1,137.5,172.9,2469.0,8.5,41.84364282,-87.61673336
23,2020,256550,NEMA Chicago,1200 S Indiana Ave,3.5,False,Near South Side,Multifamily Housing,1343820.0,2019.0,32621765.2,38781158.3,64.3,118.9,65.2,117.8,7151.1,6.4,41.865858,-87.6195328
24,2020,255023,Clybourn1200,454 W DIVISION ST,2.0,False,Near North Side,Multifamily Housing,159968.0,2017.0,3595190.0,6327708.9,75.4,126.9,77.9,130.5,897.2,6.8,41.9037676,-87.63983401
25,2020,166122,"Rudolph, Wilma Elementary Learning Center/ Hope Institute -CPS",1628 W Washington Blvd,4.0,False,NEAR WEST SIDE,K-12 School,263250.0,1928.0,4772375.0,7730980.2,47.5,81.6,49.4,83.6,1155.5,4.4,41.88332,-87.667592
27,2020,134516,,321 339 S DESPLAINES ST,2.0,False,NEAR WEST SIDE,Multifamily Housing,178336.0,1924.0,5499154.7,7444594.3,72.6,130.2,74.9,132.2,1253.7,7.0,41.88321395,-87.64336601
28,2020,254102,Residences at the VIC,3140 N Sheffield Ave,4.0,False,Lake View,Multifamily Housing,148500.0,2007.0,1555012.2,2847150.0,37.4,62.4,38.8,64.1,393.9,3.3,41.9393396,-87.65423
30,2020,113507,LaSalle Terrace Condominium Association,1540 N LaSalle St,2.5,False,NEAR NORTH SIDE,Multifamily Housing,166700.0,1976.0,4079885.6,8584849.7,83.9,135.3,87.4,138.8,1092.7,7.2,41.91023785,-87.63363509
31,2020,147565,Lakeside Lofts,2025  S INDIANA AVE,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,101333.0,2006.0,1761482.5,5144159.1,68.1,102.0,70.5,104.1,548.1,5.4,41.84550365,-87.63055693
